City,Subject,Participants,Time,Description,State,Date,Date_start,Date_end
Detroit,"Sha’Teina Grady El, Washtenaw County Sheriff, George Floyd, Minneapolis, General",1500 demonstrators,Afternoon-Morning,Organized ally outside Detroit Public Safety Headquarters; impromptu marches through city,MI,"Friday, May 29, 2020 - Saturday, May 30, 2020",2020-05-29,2020-05-30
Washington,"George Floyd, Minneapolis",2000 demonstrators,Evening-Morning,"Rally outside White House (White House on lockdown); marches through city to Trump Hotel, Capitol building",DC,"Friday, May 29, 2020 - Saturday, May 30, 2020",2020-05-29,2020-05-30
Louisville,"Breonna Taylor, George Floyd, General",Hundreds (est.) demonstrators,Evening-Morning,Current protest marching (final details will be updated on 5/30/20),KY,"Friday, May 29, 2020 - Saturday, May 30, 2020",2020-05-29,2020-05-30
Eugene,"George Floyd, Minneapolis, General",300+ demonstrators,Evening-Morning,March from County Courthouse through city,OR,"Friday, May 29, 2020 - Saturday, May 30, 2020",2020-05-29,2020-05-30
Los Angeles,"George Floyd, Minneapolis, General",Hundreds (est.) demonstrators,Evening-Morning,"March through city, shutdown of Freeway-110",CA,"Friday, May 29, 2020 - Saturday, May 30, 2020",2020-05-29,2020-05-30
Lancaster,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Morning,At Lancaster PD,PA,"Saturday, May 30, 2020",2020-05-30,NA
Cincinnati,"George Floyd, Minneapolis, General",300-500 (est.) demonstrators,Evening-Morning,"Rally at Courthouse, march through city w/ I-95 shutdown",OH,"Friday, May 29, 2020 - Saturday, May 30, 2020",2020-05-29,2020-05-30
Denver,"George Floyd, Minneapolis, General",Hundreds of demonstrators,Afternoon-Evening,"Rally at Capitol, march through streets; became tense after curfew announced & police arrived in riot/military gear",CO,"Saturday, May 30, 2020",2020-05-30,NA
New York,"George Floyd, Minneapolis, General",Thousands of demonstrators,Afternoon-Evening,Numerous marches through city,NY,"Saturday, May 30, 2020",2020-05-30,NA
Sacramento,"George Floyd, Minneapolis, General",700 demonstrators,Continuous,"Organized rally at Capitol, march through city; impromptu march thru city became tense at Sacramento County Main Jail",CA,"Saturday, May 30, 2020",2020-05-30,NA
Nashville,"George Floyd, Minneapolis, General",1 demonstrators,Afternoon,Lone protester outside Capitol holding demonstration hours before organized protest,TN,"Saturday, May 30, 2020",2020-05-30,NA
Dallas,"George Floyd, Minneapolis, General",1000+ demonstrators,Afternoon,"Rally at City Hall, march thru city w/ I-35E shutdown",TX,"Saturday, May 30, 2020",2020-05-30,NA
